artefact_id,typology,dataset,source_csv,length_mm,width_mm,thickness_mm,volume_mm3,surface_area_mm2,elongation,flatness,compactness,circularity,rectangularity,diameter_mm,curvature,edge_length_mean,edge_length_std,edge_length_skewness,edge_length_kurtosis,edge_angle_mean_deg,edge_angle_std_deg,edge_angle_skewness,edge_angle_kurtosis,convexity,solidity
RF.b_10365,Bladelet,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,51.76,19.56,12.19,1251.22,1319.57,2.646,1.604,0.009515,0.2356,9,0.38,65.7,4.3,5.2,4.172,28.224,4.2572,5.2224,4.1723,28.2240,0,0.9331
RF.b_10366,Blade,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,152.61,92.83,79.75,1065.41,1098.87,1.644,1.164,0.000309,0.5226,18,0.44,0.0,4.9,5.5,4.007,44.017,4.9097,5.5278,4.0072,44.0169,0,0.1427
RF.b_10367,Blade,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,40.86,24.6,24.37,872.44,605.05,1.661,1.009,0.008872,0.5965,12,0.38,62.0,4.1,5.7,5.446,46.235,4.0833,5.7186,5.4460,46.2351,0,0.7419
RF.b_10368,Bladelet,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,30.27,13.07,9.75,589.71,443.26,2.317,1.34,0.015979,0.3221,12,0.42,67.2,3.5,6.2,6.225,55.652,3.5221,6.2450,6.2254,55.6525,0,0.9246
RF.b_10369,Bladelet,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,34.43,21.38,8.09,478.47,245.04,1.61,2.642,0.006006,0.235,10,0.32,79.4,3.8,7.7,7.687,77.364,3.7645,7.6579,7.6866,77.3645,0,0.8699
RF.b_10370,Blade,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,35.83,22.94,14.64,847.05,848.1,1.562,1.567,0.018445,0.4086,14,0.33,66.5,4.7,5.3,4.024,30.255,4.6981,5.2975,4.0238,30.2547,0,0.9441
RF.b_10371,Blade,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,35.34,18.87,13.38,818.95,1099.31,1.873,1.41,0.024902,0.3786,12,0.36,71.8,5.2,5.1,2.682,11.966,5.1816,5.0779,2.6825,11.9656,0,0.9484
RF.b_10372,Bladelet,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,27.72,10.53,5.96,414.06,180.55,2.633,1.766,0.008473,0.2151,8,0.36,74.1,3.9,7.4,6.971,65.629,3.9120,7.3660,6.9712,65.6287,0,0.8798
RF.b_10373,Bladelet,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,28.2,14.72,11.51,447.38,232.55,1.916,1.279,0.01037,0.4081,5,0.34,66.2,4.9,6.4,4.595,30.477,4.8827,6.3752,4.5954,30.4771,0,0.9591
RF.b_10374,Bladelet,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,27.05,12.64,5.75,331.82,201.27,2.14,2.198,0.010172,0.2126,10,0.36,69.0,5.5,6.5,3.152,14.092,5.4961,6.4886,3.1517,14.0915,0,0.9095
RF.b_10375,Bladelet,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,30.96,12.54,7.42,591.43,431.96,2.469,1.689,0.014559,0.2397,12,0.39,65.9,4.2,6.1,5.609,46.729,4.2466,6.0949,5.6093,46.7286,0,0.9369
RF.b_10376,Bladelet,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,23.77,10.68,7.11,281.82,139.76,2.225,1.503,0.010405,0.2991,8,0.34,75.9,5.4,7.2,4.108,22.451,5.4018,7.1912,4.1079,22.4506,0,0.9427
RF.b_10377,Bladelet,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,17.61,7.77,6.31,152.79,59.55,2.267,1.232,0.010899,0.3582,9,0.37,62.2,6.1,8.2,4.148,23.656,6.1331,8.2256,4.1477,23.6556,0,0.8656
RF.b_10378,Bladelet,Fumane Cave (Vol 1),Fumane_3D_metadata.csv,18.22,8.81,6.98,172.83,59.04,2.07,1.262,0.009754,0.3829,5,0.49,66.6,5.1,8.9,5.257,35.225,5.0879,8.9328,5.2572,35.2247,0,0.9257
