ID,Scanner,Layer,Raw_material,Class,Blank,Technology,Cortex,Preservation,Volume,Surface,Length,Width,Thickness,Core_classification
CTC_1127,Artec.Spider,gic,Fine-grained chert,Core-Tool,Flake,Undetermined,0%,Distal,2225.12,1174.82,13,25.89999962,20.39999962,Carinated
CTC_1131,Artec.Micro,gic,Fine-grained chert,Tool,Bladelet,Semi-cortical,33-66%,Complete,56.34,141.12,15.89999962,4.800000191,1.5,NA
CTC_1137,Artec.Spider,gic,Coarse-grained chert,Blank,Flake,Maintenance,0%,Complete,3576.4,2496.29,36.20000076,45.09999847,7.300000191,NA
CTC_1149,Artec.Spider,gic,Fine-grained chert,Blank,Flake,Maintenance,0%,Proximal,2576.28,1403.03,19.60000038,33.5,8.600000381,NA
CTC_1152,Artec.Spider,gic,Fine-grained chert,Tool,Flake,Undetermined,0%,Complete,2524.13,1438.88,30.79999924,23.60000038,9.300000191,NA
CTC_1157,Artec.Spider,ars,Fine-grained chert,Tool,Blade,Maintenance,0%,Distal,3558.51,1875.43,49.09999847,18,11,NA
CTC_1158,Artec.Micro,gic,Fine-grained chert,Tool,Bladelet,Optimal,0%,Complete,49.72,144.78,17.39999962,4.5,1.5,NA
CTC_1159,Artec.Micro,gic,Fine-grained chert,Tool,Bladelet,Optimal,0%,Complete,23.87,77.62,10.30000019,4.599999905,1.399999976,NA
CTC_1161,Artec.Micro,gic,Fine-grained chert,Tool,Bladelet,Optimal,0%,Complete,18.08,66.25,9.800000191,4,1,NA
CTC_1166,Artec.Micro,gic,Fine-grained chert,Tool,Bladelet,Optimal,0%,Complete,9.89,40.55,7.599999905,3.299999952,0.800000012,NA
CTC_1168,Artec.Spider,gic,Fine-grained chert,Tool,Flake,Maintenance,0%,Complete,5658.79,2565.49,41.70000076,27.60000038,13,NA
CTC_12,Artec.Spider,rsa',Coarse-grained chert,Core,Other,Other,1-33%,NA,21731.74,4951.77,39.09999847,46.20000076,25.20000076,Multi-platform
CTC_1287,Artec.Spider,gic,Fine-grained chert,Core,Other,Other,66-99%,NA,128446.61,15070.97,55.79999924,66.40000153,57.5,Initial semi-circumferential
CTC_1288,Artec.Spider,gic,Fine-grained chert,Core,Other,Other,66-99%,NA,25008.38,5497.41,48.40000153,29,41,Initial narrow-sided
CTC_1289,Artec.Spider,gic,Quartzite,Blank,Flake,Initialization,66-99%,Complete,38901,8410.3,75,45.29999924,30,NA
CTC_1290,Artec.Spider,gic,Fine-grained chert,Tool,Flake,Optimal,0%,Complete,4479.58,2272.45,37.29999924,30.60000038,10.69999981,NA
CTC_1292,Artec.Micro,gic,Fine-grained chert,Tool,Bladelet,Optimal,0%,Complete,82.26,181.21,18.60000038,6.099999905,2.099999905,NA
CTC_1293,Artec.Micro,gic,Fine-grained chert,Tool,Bladelet,Optimal,0%,Complete,67.15,146.58,16.29999924,5.199999809,1.700000048,NA
CTC_1294,Artec.Spider,gic,Fine-grained chert,Core,Flake,Initialization,66-99%,NA,24489.12,6270.59,56.29999924,40.40000153,20,Multidirectional
CTC_1295,Artec.Spider,gic,Fine-grained chert,Core,Other,Other,0%,NA,4123.1,1684.6,35.29999924,19.10000038,21.39999962,Narrow-sided
CTC_1296,Artec.Spider,gic,Fine-grained chert,Tool,Blade,Optimal,0%,Distal,3095.04,2023.18,NA,23.70000076,6,NA
CTC_1297,Artec.Spider,gic,Fine-grained chert,Blank,Flake,Initialization,1-33%,Complete,2571.81,1336.5,38.20000076,16.79999924,12.39999962,NA
CTC_1299,Artec.Spider,gic,Fine-grained chert,Tool,Blade,Optimal,0%,Distal,2406.12,1290.72,33.29999924,17.29999924,9.399999619,NA
CTC_13,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,33-66%,NA,15127.32,3918.01,36.20000076,41.79999924,37.29999924,Initial semi-circumferential
CTC_1304,Artec.Spider,gic,Fine-grained chert,Core-Tool,Flake,Optimal,0%,NA,2877.34,1352.95,14.60000038,21.70000076,17.20000076,Carinated
CTC_1305,Artec.Spider,gic,Fine-grained chert,Tool,Flake,Optimal,0%,Complete,10609.78,3305.53,40.5,40,16.89999962,NA
CTC_1308,Artec.Micro,gic,Fine-grained chert,Tool,Bladelet,Optimal,0%,Complete,23.88,71.75,9.5,4.599999905,1.100000024,NA
CTC_1314,Artec.Spider,gic,Fine-grained chert,Core,Other,Other,0%,NA,15671.08,4156.48,25.10000038,32.40000153,32.59999847,Multidirectional
CTC_1322,Artec.Spider,gic,Fine-grained chert,Blank,Flake,Maintenance,33-66%,Complete,3805.64,1841.69,37.59999847,24.70000076,12.19999981,NA
CTC_1323,Artec.Spider,gic,Fine-grained chert,Blank,Flake,Maintenance,1-33%,Complete,1732.38,1159.05,33,18.10000038,7.099999905,NA
CTC_1328,Artec.Spider,gic,Fine-grained chert,Core,Other,Other,1-33%,NA,15743.11,4297.26,52.70000076,37.5,25.5,Semi-circumferential
CTC_1329,Artec.Spider,gic,Fine-grained chert,Core,Other,Other,0%,NA,4779.1,1874.18,29.89999962,32.09999847,15.19999981,Wide-faced flat
CTC_1330,Artec.Spider,gic,Fine-grained chert,Tool,Blade,Optimal,0%,Complete,1784.42,1401.94,48.29999924,17,5.300000191,NA
CTC_1331,Artec.Spider,ars,Fine-grained chert,Core-Tool,Flake,Optimal,0%,Complete,3317.91,1521.28,34.20000076,19.60000038,10,Initial carinated
CTC_1332,Artec.Spider,ars,Fine-grained chert,Core,Other,Other,1-33%,NA,7946.59,2766.38,38.09999847,33.20000076,30,Semi-circumferential
CTC_1333,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,1-33%,NA,20186,5132.35,53.2,38.5,20,Wide-faced flat
CTC_1336,Artec.Micro,gic,Fine-grained chert,Tool,Bladelet,Optimal,0%,Complete,71.74,169.85,17.79999924,5.599999905,1.700000048,NA
CTC_1337,Artec.Micro,gic,Fine-grained chert,Tool,Bladelet,Optimal,0%,Complete,87.37,178.42,17.79999924,5.199999809,2.200000048,NA
CTC_1338,Artec.Micro,gic,Fine-grained chert,Tool,Bladelet,Optimal,0%,Complete,26.22,82.54,9.800000191,4.900000095,1.399999976,NA
CTC_1340,Artec.Spider,gic,Fine-grained chert,Core,Other,Other,0%,NA,2853.35,1638.09,21.5,28.89999962,12.39999962,Multidirectional
CTC_1348,Artec.Spider,ars,Fine-grained chert,Core,Other,Other,0%,NA,63088.27,10315.97,59.59999847,47,63.40000153,Initial semi-circumferential
CTC_1349,Artec.Spider,gic,Fine-grained chert,Core,Other,Other,0%,NA,5149.59,1760.02,26.60000038,23.79999924,23.5,Semi-circumferential
CTC_1350,Artec.Spider,rsa',Fine-grained chert,Core,Other,Other,0%,NA,3157.33,1404.02,30.20000076,20.5,13.19999981,Wide-faced flat
CTC_1351,Artec.Spider,gic,Fine-grained chert,Core,Other,Other,0%,NA,5818.26,2149.23,31.29999924,14.80000019,36,Narrow-sided
CTC_1352,Artec.Spider,ars,Fine-grained chert,Core,Other,Other,0%,NA,9138.97,2669,36.59999847,32.70000076,18.10000038,Multi-platform
CTC_1353,Artec.Spider,gic,Fine-grained chert,Core,Other,Other,1-33%,NA,7768.37,2796.68,37.09999847,20.79999924,47,Semi-circumferential
