ID,Scanner,Unit,Raw_material,Class,Blank,Technology,Cortex,Preservation,Volume,Surface,Length,Width,Thickness,Core_classification
RF.b_5249,Micro-CT,A2,Maiolica,Blank,Blade,Optimal,0%,Complete,716.7218628,873.8073605,39.6,13.3,2.2,NA
RF.b_5250,Artec.Spider,A2,Scaglia.Rossa,Blank,Blade,Maintenance,0%,Complete,1975.487305,1790.988606,55.2,19.5,5.7,NA
RF.b_5254,Micro-CT,A2,Maiolica,Blank,Bladelet,Optimal,0%,Complete,259.3564453,430.7289169,30.9,8,2.2,NA
RF.b_5256,Micro-CT,A2,Scaglia.Variegata,Blank,Bladelet,Optimal,0%,Complete,216.7451782,386.9517637,25.9,10.5,1.7,NA
RF.b_5257,Micro-CT,A2,Scaglia.Variegata,Blank,Bladelet,Optimal,0%,Complete,200.8290558,379.1235464,26.6,7.3,2,NA
RF.b_5262,Micro-CT,A2,Maiolica,Blank,Blade,Optimal,0%,Complete,927.3712769,1168.194021,47.5,15,2.7,NA
RF.b_5267,Micro-CT,A2,Scaglia.Variegata,Blank,Bladelet,Maintenance,0%,Complete,1043.705444,984.0488843,44.8,10.1,5.5,NA
RF.b_5268,Artec.Spider,A2,Maiolica,Blank,Blade,Maintenance,1-33%,Complete,2919.570801,1900.608583,47.6,19.3,5.9,NA
RF.b_5269,Micro-CT,A2,Maiolica,Blank,Blade,Optimal,0%,Complete,1022.52478,1016.318327,44.4,12.6,4.6,NA
RF.b_5270,Micro-CT,A2,Maiolica,Blank,Bladelet,Optimal,0%,Complete,395.0470886,620.1305378,33.5,11.4,2.5,NA
RF.b_5272,Micro-CT,A2,Maiolica,Blank,Bladelet,Optimal,0%,Complete,209.7249756,432.4535287,28,9.3,1.6,NA
RF.b_5273,Micro-CT,A2,Scaglia.Variegata,Blank,Bladelet,Maintenance,1-33%,Complete,256.9665527,476.342416,28,10,1.4,NA
RF.b_5275,Micro-CT,A2,Maiolica,Blank,Blade,Maintenance,0%,Complete,1117.775757,1039.750174,37.8,14.1,4,NA
RF.b_5278,Micro-CT,A2,Maiolica,Blank,Bladelet,Optimal,0%,Complete,262.8930664,482.526278,30.5,8.5,1.8,NA
RF.b_5279,Micro-CT,A2,Undetermined,Blank,Bladelet,Optimal,0%,Complete,115.8159256,268.8202095,23,6.8,1.4,NA
RF.b_528,Artec.Spider,A2,Maiolica,Tool,Blade,Semi-cortical,33-66%,Distal,4656.687012,2209.347762,57.4,20.1,9.5,NA
RF.b_5280,Micro-CT,A2,Maiolica,Blank,Bladelet,Optimal,0%,Complete,108.1389542,248.1589208,20.5,7.1,1.4,NA
